city,country,block_id,block_category,block_observations,block_selected_partner
Addis Ababa,Ethiopia,737,5,Vacant area.,Yes
Addis Ababa,Ethiopia,9996,4,,Yes
Addis Ababa,Ethiopia,1180,4,It’s a green area.,Yes
Addis Ababa,Ethiopia,1337,4,,Yes
Addis Ababa,Ethiopia,4659,5,,Yes
Addis Ababa,Ethiopia,13464,5,,Yes
Addis Ababa,Ethiopia,2367,5,It is a factory area.,Yes
Addis Ababa,Ethiopia,13698,4,,Yes
Addis Ababa,Ethiopia,851,5,Vacant area.,Yes
Addis Ababa,Ethiopia,4143,5,It’s a round about.,Yes
Addis Ababa,Ethiopia,5756,5,,Yes
Addis Ababa,Ethiopia,5238,2,,No
Addis Ababa,Ethiopia,12205,5,,Yes
